Date,Males,Females
Mar-94,4.5,6.1
Jun-94,4.6,5.8
Sep-94,4.7,5.9
Dec-94,4.7,6.1
Mar-95,5.0,6.3
Jun-95,4.8,6.2
Sep-95,5.0,6.7
Dec-95,5.2,6.4
Mar-96,5.2,6.4
Jun-96,4.8,6.4
Sep-96,4.5,6.4
Dec-96,4.8,6.1
Mar-97,4.7,6.0
Jun-97,4.8,6.1
Sep-97,4.6,5.9
Dec-97,4.6,6.0
Mar-98,4.5,6.6
Jun-98,4.7,6.3
Sep-98,4.5,6.2
Dec-98,4.5,5.6
Mar-99,4.8,6.7
Jun-99,4.8,6.5
Sep-99,5.2,6.6
Dec-99,4.9,6.4
Mar-00,4.8,6.2
Jun-00,4.4,6.4
Sep-00,4.5,6.6
Dec-00,4.7,6.6
Mar-01,4.7,6.4
Jun-01,5.2,6.9
Sep-01,4.8,6.6
Dec-01,4.8,6.7
Mar-02,4.7,6.5
Jun-02,4.9,6.5
Sep-02,4.8,6.9
Dec-02,5.1,6.6
Mar-03,4.8,6.8
Jun-03,4.9,6.6
Sep-03,4.8,6.6
Dec-03,4.5,6.7
Mar-04,4.8,6.9
Jun-04,5.3,7.0
Sep-04,5.2,6.8
Dec-04,4.9,6.9
Mar-05,4.8,6.9
Jun-05,5.1,6.8
Sep-05,4.8,6.8
Dec-05,4.8,7.0
Mar-06,4.9,6.6
Jun-06,4.7,6.4
Sep-06,4.6,6.6
Dec-06,4.4,6.6
Mar-07,4.6,6.5
Jun-07,4.7,6.5
Sep-07,5.0,6.6
Dec-07,4.8,6.6
Mar-08,4.7,6.4
Jun-08,4.4,6.3
Sep-08,4.6,6.8
Dec-08,4.6,6.5
Mar-09,4.8,6.8
Jun-09,4.6,6.6
Sep-09,4.7,6.8
Dec-09,4.8,6.8
Mar-10,4.7,6.8
Jun-10,4.6,6.6
Sep-10,4.6,6.8
Dec-10,4.6,6.6
Mar-11,4.5,6.1
Jun-11,4.6,6.4
Sep-11,4.5,6.7
Dec-11,4.3,6.4
Mar-12,4.4,6.4
Jun-12,4.5,6.2
Sep-12,4.4,6.2
Dec-12,4.6,6.0
Mar-13,4.3,6.6
Jun-13,4.5,6.4
Sep-13,4.9,6.6
Dec-13,4.5,6.2
Mar-14,4.7,6.1
Jun-14,4.5,5.9
Sep-14,4.3,6.5
Dec-14,4.4,6.4
Mar-15,4.7,6.5
Jun-15,4.6,6.9
Sep-15,4.5,6.9
Dec-15,4.9,6.7
Mar-16,4.7,6.8
Jun-16,4.7,6.5
Sep-16,4.7,6.7
Dec-16,4.5,6.6
Mar-17,4.4,6.5
Jun-17,4.7,6.5
Sep-17,4.8,6.7
Dec-17,4.7,6.4
Mar-18,4.8,6.6
Jun-18,4.9,6.4
Sep-18,4.7,7.0
Dec-18,4.8,7.4
Mar-19,5.0,6.9
Jun-19,4.6,6.8
Sep-19,5.0,6.9
Dec-19,5.0,6.9
Mar-20,5.2,6.8
Jun-20,4.4,5.7
Sep-20,5.0,6.5
Dec-20,5.1,7.1
Mar-21,5.2,7.0
Jun-21,5.3,6.9
Sep-21,5.0,6.9
Dec-21,5.2,7.7
Mar-22,5.4,7.2
Jun-22,5.6,7.3
Sep-22,5.7,7.3
Dec-22,5.8,7.6
Mar-23,5.7,7.6
Jun-23,5.7,7.6
Sep-23,5.6,7.9
Dec-23,6.0,7.5
Mar-24,6.0,7.3
Jun-24,5.7,7.2
Sep-24,5.8,7.7
Dec-24,6.0,7.6
Mar-25,5.3,7.6
Jun-25,5.1,7.5
