Date,Rate,Levels
Sep-94,5.3,433.1
Dec-94,5.3,442.0
Mar-95,5.5,459.8
Jun-95,5.4,453.5
Sep-95,5.8,487.7
Dec-95,5.7,486.0
Mar-96,5.6,481.8
Jun-96,5.5,470.0
Sep-96,5.4,458.2
Dec-96,5.4,461.6
Mar-97,5.2,448.0
Jun-97,5.4,459.7
Sep-97,5.2,446.5
Dec-97,5.3,457.0
Mar-98,5.4,466.3
Jun-98,5.4,471.8
Sep-98,5.2,459.3
Dec-98,5,442.3
Mar-99,5.6,494.7
Jun-99,5.5,492.9
Sep-99,5.8,518.2
Dec-99,5.6,502.7
Mar-00,5.4,491.9
Jun-00,5.3,480.9
Sep-00,5.4,499.3
Dec-00,5.5,510.5
Mar-01,5.5,505.1
Jun-01,6,555.2
Sep-01,5.5,513.6
Dec-01,5.7,530.2
Mar-02,5.5,517.5
Jun-02,5.6,529.4
Sep-02,5.7,542.4
Dec-02,5.8,555.9
Mar-03,5.7,551.9
Jun-03,5.6,541.4
Sep-03,5.6,542.1
Dec-03,5.5,539.1
Mar-04,5.8,566.6
Jun-04,6,591.0
Sep-04,5.9,583.4
Dec-04,5.8,580.4
Mar-05,5.8,583.1
Jun-05,5.9,598.7
Sep-05,5.6,573.9
Dec-05,5.8,594.5
Mar-06,5.7,585.0
Jun-06,5.5,569.2
Sep-06,5.4,572.1
Dec-06,5.4,569.6
Mar-07,5.4,577.2
Jun-07,5.6,596.0
Sep-07,5.6,606.3
Dec-07,5.6,608.3
Mar-08,5.5,597.5
Jun-08,5.3,587.3
Sep-08,5.5,612.8
Dec-08,5.5,606.9
Mar-09,5.7,629.7
Jun-09,5.6,613.5
Sep-09,5.6,616.5
Dec-09,5.7,638.7
Mar-10,5.7,636.6
Jun-10,5.6,626.3
Sep-10,5.5,623.1
Dec-10,5.5,631.6
Mar-11,5.2,599.4
Jun-11,5.5,629.1
Sep-11,5.4,624.6
Dec-11,5.3,605.5
Mar-12,5.3,614.3
Jun-12,5.3,616.5
Sep-12,5.2,605.0
Dec-12,5.3,619.1
Mar-13,5.4,627.3
Jun-13,5.4,640.2
Sep-13,5.6,658.6
Dec-13,5.3,621.0
Mar-14,5.4,630.8
Jun-14,5.2,611.8
Sep-14,5.2,616.5
Dec-14,5.3,634.3
Mar-15,5.6,663.9
Jun-15,5.7,684.9
Sep-15,5.5,667.1
Dec-15,5.7,698.2
Mar-16,5.7,689.6
Jun-16,5.6,683.8
Sep-16,5.6,682.4
Dec-16,5.5,677.3
Mar-17,5.4,665.5
Jun-17,5.6,698.3
Sep-17,5.6,710.8
Dec-17,5.5,689.1
Mar-18,5.6,717.5
Jun-18,5.7,727.5
Sep-18,5.7,734.5
Dec-18,6,773.9
Mar-19,5.9,765.7
Jun-19,5.7,745.4
Sep-19,5.8,770.0
Dec-19,5.8,770.5
Mar-20,6,784.1
Jun-20,5.1,638.0
Sep-20,5.7,723.3
Dec-20,6,780.8
Mar-21,6,796.0
Jun-21,6.2,817.7
Sep-21,5.9,765.7
Dec-21,6.3,848.2
Mar-22,6.3,855.9
Jun-22,6.5,896.6
Sep-22,6.4,898.2
Dec-22,6.5,924.4
Mar-23,6.6,946.3
Jun-23,6.7,960.6
Sep-23,6.7,961.2
Dec-23,6.6,953.0
Mar-24,6.7,971.2
Jun-24,6.5,955.2
Sep-24,6.7,984.7
Dec-24,6.7,988.9
Mar-25,6.5,961.1
Jun-25,6.4,948.9
